코드,관광지명,필드,변경전,변경후,규칙,사유,단계,근거출처,비고,개최월,_2026일정,확정도,추천대상,근거,제외사유
P447,신비의도로,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P656,다랑쉬굴,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P660,대한민국최남단비,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P661,제주가마오름일제동굴진지,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P663,낙선동 4.3성,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P665,수월이못,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P669,진지동굴,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P674,루나폴,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P675,하우스오브레퓨즈,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P676,빛의 섬 루미버스,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P685,아라리오뮤지엄동문모텔2,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P707,플레이박스VR,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P716,순례자의 교회,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P724,마라도성당,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P727,행원리 남당(해신당),이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P736,드르쿰다 제주 상효점,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P738,스위스마을 소락스위스,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P741,단산(바굼지오름),이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P746,아부오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
